SUBSTATION,PXF,DATE,HYDROGEN,METHANE,ETHANE,ETHYLENE,ACETYLENE,LAT,LNG
Substation2,2,2022-01-26 00:00:00,6.0,109.0,229.0,0.0,0.0,14.96451,120.8985248
Substation2,2,2022-01-27 00:00:00,19.0,113.0,268.0,16.0,0.0,14.96451,120.8985248
Substation2,2,2022-01-28 00:00:00,26.0,132.0,277.0,11.0,0.0,14.96451,120.8985248
Substation2,2,2022-01-29 00:00:00,39.0,133.0,286.0,13.0,2.0,14.96451,120.8985248
Substation2,2,2022-01-30 00:00:00,30.0,133.0,279.0,15.0,0.0,14.96451,120.8985248
Substation2,2,2022-01-31 00:00:00,36.0,148.0,305.0,15.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-01 00:00:00,24.0,129.0,275.0,10.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-02 00:00:00,35.0,141.0,319.0,14.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-03 00:00:00,10.0,134.0,340.0,16.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-04 00:00:00,26.0,119.0,253.0,16.0,2.0,14.96451,120.8985248
Substation2,2,2022-02-05 00:00:00,50.0,0.0,254.0,15.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-06 00:00:00,62.0,0.0,232.0,14.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-07 00:00:00,60.0,0.0,238.0,16.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-08 00:00:00,22.0,154.0,282.0,17.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-09 00:00:00,2.0,162.0,318.0,18.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-10 00:00:00,27.0,168.0,362.0,19.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-11 00:00:00,20.0,142.0,288.0,24.0,0.0,14.96451,120.8985248
Substation2,2,2022-02-12 00:00:00,10.0,32.0,362.0,23.0,0.0,14.96451,120.8985248
